0	Coast	2	4
251	prohibited	4	4
252	on	4	4
253	television	4	4
254	since	4	4
255	1971	3	0
256	.	4	4
257	But	4	4
258	even	4	4
259	before	4	4
260	it	4	4
261	begins	4	4
262	,	4	4
263	the	4	4
264	campaign	4	4
265	is	4	4
266	drawing	4	4
267	fire	4	4
268	from	4	4
269	anti-smoking	4	4
270	advocates	3	4
271	,	4	4
272	who	4	4
273	criticize	4	4
274	Philip	2	4
275	Morris	0	4
276	's	4	4
277	attempt	4	4
278	to	4	4
279	bolster	4	4
280	its	4	4
281	beleaguered	4	4
282	image	4	4
283	by	4	4
284	wrapping	4	4
285	itself	4	4
286	in	4	4
287	the	4	4
288	document	4	4
289	that	4	4
290	is	4	4
291	a	4	4
292	cornerstone	4	4
293	of	4	4
294	American	3	4
295	democracy	4	4
296	.	4	4
297	Philip	2	4
298	Morris	0	4
299	,	4	4
300	which	4	4
301	became	4	4
302	the	4	4
303	U.S.	3	4
304	's	4	4
305	largest	4	4
306	food	4	4
307	company	3	4
308	last	2	4
309	year	0	4
310	with	4	4
311	its	4	4
312	$	2	4
313	12.9	1	0
314	billion	0	4
315	acquisition	4	4
316	of	4	4
317	Kraft	2	4
318	Inc.	0	0
319	,	4	4
320	seems	4	4
321	determined	4	4
322	to	4	4
323	evolve	4	4
324	beyond	4	4
325	its	4	4
326	roots	4	4
327	in	4	4
328	Marlboro	3	4
329	country	4	4
330	.	4	4
331	The	4	4
332	company	3	4
333	's	4	4
334	research	4	4
335	suggests	4	4
336	that	4	4
337	its	4	4
338	name	4	4
339	recognition	4	4
340	among	4	4
341	most	4	4
342	consumers	3	4
343	remains	4	4
344	unusually	4	4
345	low	4	4
346	,	4	4
347	although	4	4
348	its	4	4
349	array	4	4
350	of	4	4
351	brands	4	4
352	--	4	4
353	including	4	4
354	Maxwell	2	4
355	House	0	4
356	coffee	3	4
357	,	4	4
358	Jell-O	3	4
359	,	4	4
360	Cheez	2	4
361	Whiz	0	4
362	,	4	4
363	and	4	4
364	Miller	3	4
365	beer	3	4
366	--	4	4
367	blanket	4	4
368	supermarket	4	4
369	shelves	4	4
370	.	4	4
371	The	4	4
372	company	3	4
373	is	4	4
374	expected	4	4
375	to	4	4
376	spend	4	4
377	about	2	4
378	$	1	4
379	30	1	4
380	million	0	4
381	a	4	4
382	year	4	4
383	on	4	4
384	its	4	4
385	two-year	3	4
386	corporate	4	4
387	campaign	4	4
388	,	4	4
389	created	4	4
390	by	4	4
391	WPP	2	4
392	Group	0	4
393	's	4	4
394	Ogilvy	3	4
395	&	4	4
396	Mather	4	4
397	unit	3	4
398	in	4	4
399	New	2	4
400	York	0	4
401	.	4	4
402	The	4	4
403	initial	4	4
404	spots	4	4
405	will	4	4
406	appear	4	4
407	during	4	4
408	morning	4	4
409	and	4	4
410	prime-time	4	4
411	news	4	4
412	shows	4	4
413	.	4	4
414	Philip	2	4
415	Morris	0	4
416	hopes	4	4
417	that	4	4
418	by	4	4
419	taking	4	4
420	its	4	4
421	Bill	2	4
422	of	1	4
423	Rights	0	4
424	theme	4	4
425	to	4	4
426	the	4	4
427	airwaves	4	4
428	,	4	4
429	in	4	4
430	addition	4	4
431	to	4	4
432	publications	3	4
433	,	4	4
434	it	4	4
435	will	4	4
436	reach	4	4
437	the	4	4
438	broadest	4	4
439	possible	4	4
440	audience	3	4
441	.	4	4
442	Until	4	4
443	now	4	4
444	,	4	4
445	its	4	4
446	corporate	4	4
447	ads	4	4
448	,	4	4
449	mainly	4	4
450	promoting	4	4
451	its	4	4
452	sponsorship	4	4
453	of	4	4
454	the	4	4
455	arts	4	4
456	,	4	4
457	have	4	4
458	appeared	4	4
459	almost	4	4
460	exclusively	4	4
461	in	4	4
462	newspapers	3	4
463	and	4	4
464	magazines	3	4
465	.	4	4
466	``	4	4
467	Most	4	4
468	people	3	4
469	--	4	4
470	whether	4	4
471	in	4	4
472	Toledo	3	4
473	,	4	4
474	Tucson	3	4
475	or	4	4
476	Topeka	3	4
477	--	4	4
478	have	4	4
479	n't	4	4
480	got	4	4
481	a	4	4
482	clue	4	4
483	who	4	4
484	we	4	4
485	are	4	4
486	,	4	4
487	''	4	4
488	says	4	4
489	Guy	2	4
490	L.	1	0
491	Smith	0	4
492	,	4	4
493	Philip	2	4
494	Morris	0	4
495	's	4	4
496	vice	2	4
497	president	0	4
498	of	4	4
499	corporate	4	4
500	affairs	4	4
501	.	4	4
502	``	4	4
503	If	4	4
504	they	4	4
505	think	4	4
506	well	4	4
507	of	4	4
508	the	4	4
509	company	3	4
510	through	4	4
511	our	4	4
512	support	4	4
513	of	4	4
514	the	4	4
515	Bill	2	4
516	of	1	4
517	Rights	0	4
518	,	4	4
519	it	4	4
520	follows	4	4
521	they	4	4
522	'll	4	4
523	think	4	4
524	well	4	4
525	of	4	4
526	our	4	4
527	products	4	4
528	.	4	4
529	''	4	4
530	Mr.	4	0
531	Smith	3	4
532	says	4	4
533	the	4	4
534	Bill	2	4
535	of	1	4
536	Rights	0	4
537	commercial	4	4
538	,	4	4
539	which	4	4
540	trumpets	4	4
541	the	4	4
542	themes	4	4
543	of	4	4
544	liberty	4	4
545	and	4	4
546	freedom	4	4
547	of	4	4
548	expression	4	4
549	,	4	4
550	is	4	4
551	n't	4	4
552	designed	4	4
553	to	4	4
554	have	4	4
555	any	4	4
556	special	4	4
557	appeal	4	4
558	for	4	4
559	smokers	3	4
560	.	4	4
561	Although	4	4
562	Philip	2	4
563	Morris	0	4
564	typically	4	4
565	tries	4	4
566	to	4	4
567	defend	4	4
568	the	4	4
569	rights	4	4
570	of	4	4
571	smokers	3	4
572	with	4	4
573	free-choice	4	4
574	arguments	4	4
575	,	4	4
576	``	4	4
577	this	4	4
578	has	4	4
579	nothing	4	4
580	to	4	4
581	do	4	4
582	with	4	4
583	cigarettes	4	4
584	,	4	4
585	nor	4	4
586	will	4	4
587	it	4	4
588	ever	4	4
589	,	4	4
590	''	4	4
591	the	4	4
592	spokesman	3	4
593	says	4	4
594	.	4	4
595	But	4	4
596	some	4	4
597	anti-smoking	4	4
598	activists	3	4
599	disagree	4	4
600	,	4	4
601	expressing	4	4
602	anger	4	4
603	at	4	4
604	what	4	4
605	they	4	4
606	see	4	4
607	as	4	4
608	the	4	4
609	company	3	4
610	's	4	4
611	attempt	4	4
612	to	4	4
613	purchase	4	4
614	innocence	4	4
615	by	4	4
616	association	4	4
617	.	4	4
618	``	4	4
619	I	4	4
620	'm	4	4
621	outraged	4	4
622	because	4	4
623	this	4	4
624	company	3	4
625	is	4	4
626	portraying	4	4
627	itself	4	4
628	at	4	4
629	the	4	4
630	heart	4	4
631	of	4	4
632	American	3	4
633	culture	4	4
634	and	4	4
635	political	4	4
636	freedom	4	4
637	and	4	4
638	in	4	4
639	fact	4	4
640	it's	4	4
641	a	4	4
642	killer	3	4
643	,	4	4
644	''	4	4
645	says	4	4
646	Michael	2	4
647	Pertschuk	0	4
648	,	4	4
649	former	4	4
650	chairman	3	4
651	of	4	4
652	the	4	4
653	Federal	2	4
654	Trade	1	4
655	Commission	0	4
656	and	4	4
657	a	4	4
658	tobacco-industry	4	4
659	critic	3	4
660	.	4	4
661	``	4	4
662	It	4	4
663	should	4	4
664	be	4	4
665	treated	4	4
666	like	4	4
667	the	4	4
668	Medellin	3	4
669	-LCB-	4	4
670	drug	4	4
671	-RCB-	4	4
672	mafia	3	4
673	,	4	4
674	not	4	4
675	the	4	4
676	Founding	2	4
677	Fathers	0	4
678	.	4	4
679	''	4	4
680	Mr.	4	0
681	Pertschuk	3	4
682	adds	4	4
683	that	4	4
684	the	4	4
685	new	4	4
686	commercial	4	4
687	dovetails	4	4
688	perfectly	4	4
689	with	4	4
690	major	4	4
691	aspects	4	4
692	of	4	4
693	Philip	2	4
694	Morris	0	4
695	's	4	4
696	political	4	4
697	strategy	4	4
698	.	4	4
699	These	4	4
700	include	4	4
701	trying	4	4
702	to	4	4
703	protect	4	4
704	its	4	4
705	print	4	4
706	advertising	4	4
707	by	4	4
708	invoking	4	4
709	the	4	4
710	First	2	4
711	Amendment	0	4
712	,	4	4
713	and	4	4
714	wooing	4	4
715	blacks	3	4
716	by	4	4
717	portraying	4	4
718	itself	4	4
719	as	4	4
720	a	4	4
721	protector	3	4
722	of	4	4
723	civil	4	4
724	rights	4	4
725	.	4	4
726	-LRB-	4	4
727	The	4	4
728	commercial	4	4
729	features	4	4
730	,	4	4
731	among	4	4
732	others	4	4
733	,	4	4
734	the	4	4
735	voice	4	4
736	of	4	4
737	Martin	2	4
738	Luther	1	4
739	King	1	4
740	Jr.	0	0
741	,	4	4
742	the	4	4
743	slain	4	4
744	civil	4	4
745	rights	4	4
746	leader	3	4
747	.	4	4
748	-RRB-	4	4
749	Many	4	4
750	marketers	3	4
751	say	4	4
752	Philip	2	4
753	Morris	0	4
754	's	4	4
755	approach	4	4
756	will	4	4
757	be	4	4
758	effective	4	4
759	,	4	4
760	but	4	4
761	they	4	4
762	agree	4	4
763	that	4	4
764	the	4	4
765	ads	4	4
766	'	4	4
767	implied	4	4
768	smoking	4	4
769	message	4	4
770	is	4	4
771	unmistakable	4	4
772	.	4	4
773	``	4	4
774	This	4	4
775	is	4	4
776	clever	4	4
777	,	4	4
778	subliminal	4	4
779	advertising	4	4
780	that	4	4
781	really	4	4
782	says	4	4
783	,	4	4
784	`	4	4
785	Smokers	3	4
786	have	4	4
787	rights	4	4
788	,	4	4
789	too	4	4
790	,	4	4
791	'	4	4
792	''	4	4
793	says	4	4
794	Al	2	4
795	Ries	0	4
796	,	4	4
797	chairman	3	4
798	of	4	4
799	Trout	3	4
800	&	4	4
801	Ries	4	4
802	Inc.	4	0
803	,	4	4
804	a	4	4
805	Greenwich	3	4
806	,	4	4
807	Conn.	3	0
808	,	4	4
809	marketing	4	4
810	strategy	4	4
811	firm	3	4
812	.	4	4
813	``	4	4
814	This	4	4
815	is	4	4
816	designed	4	4
817	to	4	4
818	get	4	4
819	the	4	4
820	wagons	4	4
821	in	4	4
822	a	4	4
823	circle	4	4
824	and	4	4
825	defend	4	4
826	the	4	4
827	smoking	4	4
828	franchise	3	4
829	.	4	4
830	''	4	4
831	Richard	2	4
832	Winger	0	4
833	,	4	4
834	a	4	4
835	partner	3	4
836	at	4	4
837	Boston	2	4
838	Consulting	1	4
839	Group	0	4
840	,	4	4
841	adds	4	4
842	:	4	4
843	``	4	4
844	It's	4	4
845	very	4	4
846	popular	4	4
847	to	4	4
848	drape	4	4
849	yourself	4	4
850	in	4	4
851	the	4	4
852	flag	4	4
853	these	2	4
854	days	0	4
855	.	4	4
856	If	4	4
857	you	4	4
858	can	4	4
859	do	4	4
860	that	4	4
861	and	4	4
862	at	4	4
863	the	4	4
864	same	4	4
865	time	4	4
866	send	4	4
867	a	4	4
868	message	4	4
869	that	4	4
870	supports	4	4
871	your	4	4
872	business	3	4
873	,	4	4
874	that's	4	4
875	brilliant	4	4
876	.	4	4
877	''	4	4
878	RJR	2	4
879	Nabisco	1	4
880	Inc.	0	0
881	and	4	4
882	American	2	4
883	Brands	1	4
884	Inc.	0	0
885	say	4	4
886	they	4	4
887	have	4	4
888	no	4	4
889	plans	4	4
890	to	4	4
891	follow	4	4
892	Philip	2	4
893	Morris	0	4
894	's	4	4
895	lead	4	4
896	.	4	4
897	-LRB-	4	4
898	Indeed	4	4
899	,	4	4
900	RJR	2	4
901	Nabisco	0	4
902	is	4	4
903	currently	4	4
904	under	4	4
905	fire	4	4
906	for	4	4
907	having	4	4
908	sent	4	4
909	80-second	3	4
910	videotapes	4	4
911	touting	4	4
912	its	4	4
913	Now	4	4
914	brand	4	4
915	to	4	4
916	consumers	3	4
917	who	4	4
918	smoke	4	4
919	American	2	4
920	Brands	0	4
921	'	4	4
922	Carltons	3	4
923	.	4	4
924	-RRB-	4	4
925	Despite	4	4
926	the	4	4
927	criticism	4	4
928	,	4	4
929	Philip	2	4
930	Morris	0	4
931	's	4	4
932	corporate	4	4
933	campaign	4	4
934	runs	4	4
935	little	4	4
936	risk	4	4
937	of	4	4
938	getting	4	4
939	yanked	4	4
940	off	4	4
941	the	4	4
942	tube	4	4
943	.	4	4
944	``	4	4
945	They	4	4
946	are	4	4
947	n't	4	4
948	showing	4	4
949	James	2	4
950	Madison	0	4
951	taking	4	4
952	a	4	4
953	puff	4	4
954	or	4	4
955	lighting	4	4
956	up	4	4
957	,	4	4
958	''	4	4
959	says	4	4
960	Laurence	2	4
961	Tribe	0	4
962	,	4	4
963	a	4	4
964	professor	3	4
965	of	4	4
966	constitutional	4	4
967	law	4	4
968	at	4	4
969	Harvard	2	4
970	University	0	4
971	.	4	4
972	``	4	4
973	All	4	4
974	they	4	4
975	are	4	4
976	trying	4	4
977	to	4	4
978	do	4	4
979	is	4	4
980	borrow	4	4
981	some	4	4
982	of	4	4
983	the	4	4
984	legitimacy	4	4
985	of	4	4
986	the	4	4
987	Bill	2	4
988	of	1	4
989	Rights	0	4
990	itself	4	4
991	.	4	4
992	Technology	4	4
993	stocks	4	4
994	woke	4	4
995	up	4	4
996	,	4	4
997	helping	4	4
998	the	4	4
999	over-the-counter	4	4
1000	market	4	4
1001	rise	4	4
1002	from	4	4
1003	its	4	4
1004	recent	4	4
1005	doldrums	4	4
1006	.	4	4
1007	The	4	4
1008	Nasdaq	4	4
1009	Composite	4	4
1010	Index	4	4
1011	surged	4	4
1012	4.26	3	0
1013	,	4	4
1014	or	4	4
1015	about	2	4
1016	0.94	1	0
1017	%	0	4
1018	,	4	4
1019	to	4	4
1020	455.63	3	0
1021	.	4	4
1022	It	4	4
1023	was	4	4
1024	the	4	4
1025	market's	4	4
1026	biggest	4	4
1027	gain	4	4
1028	since	4	4
1029	rising	4	4
1030	more	2	4
1031	than	1	4
1032	7	0	4
1033	points	4	4
1034	on	4	4
1035	Oct.	2	0
1036	19	0	4
1037	.	4	4
1038	Advancing	4	4
1039	OTC	4	4
1040	stocks	4	4
1041	outpaced	4	4
1042	decliners	4	4
1043	by	4	4
1044	1,120	3	0
1045	to	4	4
1046	806	3	4
1047	.	4	4
1048	But	4	4
1049	the	4	4
1050	move	4	4
1051	lagged	4	4
1052	a	4	4
1053	stronger	4	4
1054	rise	4	4
1055	in	4	4
1056	New	2	4
1057	York	1	4
1058	Stock	1	4
1059	Exchange	0	4
1060	issues	4	4
1061	.	4	4
1062	The	4	4
1063	Big	2	4
1064	Board	0	4
1065	's	4	4
1066	composite	4	4
1067	index	4	4
1068	was	4	4
1069	up	4	4
1070	more	2	4
1071	than	1	4
1072	1.4	1	0
1073	%	0	4
1074	,	4	4
1075	and	4	4
1076	the	4	4
1077	Dow	2	4
1078	Jones	0	4
1079	Industrial	4	4
1080	Average	4	4
1081	jumped	4	4
1082	1.6	2	0
1083	%	0	4
1084	.	4	4
1085	Nasdaq	3	4
1086	's	4	4
1087	gain	4	4
1088	was	4	4
1089	led	4	4
1090	by	4	4
1091	its	4	4
1092	biggest	4	4
1093	industrial	4	4
1094	stocks	4	4
1095	.	4	4
1096	The	4	4
1097	Nasdaq	4	4
1098	100	4	4
1099	rose	4	4
1100	7.08	3	0
1101	to	4	4
1102	445.23	3	0
1103	.	4	4
1104	The	4	4
1105	Financial	4	4
1106	Index	4	4
1107	of	4	4
1108	100	3	4
1109	biggest	4	4
1110	banks	3	4
1111	and	4	4
1112	insurance	4	4
1113	issues	4	4
1114	added	4	4
1115	2.19	3	0
1116	to	4	4
1117	447.76	3	0
1118	.	4	4
1119	Other	4	4
1120	strong	4	4
1121	sectors	4	4
1122	were	4	4
1123	indicated	4	4
1124	in	4	4
1125	gains	4	4
1126	of	4	4
1127	the	4	4
1128	Transportation	4	4
1129	Index	4	4
1130	,	4	4
1131	up	4	4
1132	7.55	3	0
1133	to	4	4
1134	475.35	3	0
1135	,	4	4
1136	and	4	4
1137	the	4	4
1138	Utility	4	4
1139	Index	4	4
1140	,	4	4
1141	up	4	4
1142	8.68	3	0
1143	to	4	4
1144	730.37	3	0
1145	.	4	4
1146	National	2	4
1147	Market	1	4
1148	System	0	4
1149	volume	4	4
1150	improved	4	4
1151	to	4	4
1152	94,425,000	3	0
1153	shares	4	4
1154	from	4	4
1155	71.7	2	0
1156	million	0	4
1157	Monday	3	4
1158	.	4	4
1159	Many	4	4
1160	of	4	4
1161	Nasdaq	3	4
1162	's	4	4
1163	biggest	4	4
1164	technology	4	4
1165	stocks	4	4
1166	were	4	4
1167	in	4	4
1168	the	4	4
1169	forefront	4	4
1170	of	4	4
1171	the	4	4
1172	rally	4	4
1173	.	4	4
1174	Microsoft	3	4
1175	added	4	4
1176	2	2	4
1177	1/8	0	0
1178	to	4	4
1179	81	2	4
1180	3/4	0	0
1181	and	4	4
1182	Oracle	2	4
1183	Systems	0	4
1184	rose	4	4
1185	1	2	4
1186	1/2	0	0
1187	to	4	4
1188	23	2	4
1189	1/4	0	0
1190	.	4	4
1191	Intel	3	4
1192	was	4	4
1193	up	4	4
1194	1	2	4
1195	3/8	0	0
1196	to	4	4
1197	33	2	4
1198	3/4	0	0
1199	.	4	4
1200	But	4	4
1201	traders	3	4
1202	who	4	4
1203	watch	4	4
1204	the	4	4
1205	stocks	4	4
1206	warned	4	4
1207	the	4	4
1208	rise	4	4
1209	may	4	4
1210	be	4	4
1211	yet	4	4
1212	another	4	4
1213	``	4	4
1214	one-day	3	4
1215	phenomenon	4	4
1216	.	4	4
1217	''	4	4
1218	Technology	4	4
1219	stocks	4	4
1220	bore	4	4
1221	the	4	4
1222	brunt	4	4
1223	of	4	4
1224	the	4	4
1225	OTC	4	4
1226	market's	4	4
1227	recent	4	4
1228	sell-off	4	4
1229	,	4	4
1230	and	4	4
1231	traders	3	4
1232	say	4	4
1233	it's	4	4
1234	natural	4	4
1235	that	4	4
1236	they	4	4
1237	rebound	4	4
1238	sharply	4	4
1239	now	4	4
1240	that	4	4
1241	the	4	4
1242	market	4	4
1243	has	4	4
1244	turned	4	4
1245	around	4	4
1246	.	4	4
1247	But	4	4
1248	,	4	4
1249	they	4	4
1250	caution	4	4
1251	,	4	4
1252	conservative	4	4
1253	investors	3	4
1254	would	4	4
1255	do	4	4
1256	well	4	4
1257	to	4	4
1258	sell	4	4
1259	into	4	4
1260	the	4	4
1261	strength	4	4
1262	.	4	4
1263	``	4	4
1264	They	4	4
1265	are	4	4
1266	always	4	4
1267	the	4	4
1268	first	3	4
1269	to	4	4
1270	be	4	4
1271	sold	4	4
1272	when	4	4
1273	people	3	4
1274	are	4	4
1275	taking	4	4
1276	profits	4	4
1277	,	4	4
1278	because	4	4
1279	people	3	4
1280	are	4	4
1281	most	4	4
1282	scared	4	4
1283	of	4	4
1284	the	4	4
1285	high-technology	4	4
1286	stocks	4	4
1287	,	4	4
1288	''	4	4
1289	said	4	4
1290	Robin	2	4
1291	West	0	4
1292	,	4	4
1293	director	3	4
1294	of	4	4
1295	research	4	4
1296	for	4	4
1297	Ladenburg	2	4
1298	Thalmann	0	4
1299	's	4	4
1300	Lanyi	3	4
1301	division	3	4
1302	,	4	4
1303	which	4	4
1304	specializes	4	4
1305	in	4	4
1306	emerging	4	4
1307	growth	4	4
1308	stocks	4	4
1309	.	4	4
1310	The	4	4
1311	technology	4	4
1312	group	3	4
1313	includes	4	4
1314	many	4	4
1315	of	4	4
1316	the	4	4
1317	OTC	4	4
1318	market's	4	4
1319	biggest	4	4
1320	stocks	4	4
1321	,	4	4
1322	which	4	4
1323	dominate	4	4
1324	the	4	4
1325	market-weighted	4	4
1326	Nasdaq	4	4
1327	Composite	4	4
1328	Index	4	4
1329	.	4	4
1330	Analysts	3	4
1331	say	4	4
1332	rallies	4	4
1333	in	4	4
1334	the	4	4
1335	group	3	4
1336	historically	4	4
1337	have	4	4
1338	lifted	4	4
1339	the	4	4
1340	market	4	4
1341	,	4	4
1342	while	4	4
1343	weakness	4	4
1344	in	4	4
1345	the	4	4
1346	sector	4	4
1347	often	4	4
1348	sank	4	4
1349	unlisted	4	4
1350	share	4	4
1351	prices	4	4
1352	broadly	4	4
1353	.	4	4
1354	But	4	4
1355	increasing	4	4
1356	volatility	4	4
1357	in	4	4
1358	the	4	4
1359	sector	4	4
1360	has	4	4
1361	exhausted	4	4
1362	investors	3	4
1363	who	4	4
1364	try	4	4
1365	to	4	4
1366	follow	4	4
1367	its	4	4
1368	dips	4	4
1369	and	4	4
1370	swings	4	4
1371	.	4	4
1372	The	4	4
1373	stocks	4	4
1374	have	4	4
1375	been	4	4
1376	pummeled	4	4
1377	repeatedly	4	4
1378	by	4	4
1379	inventory	4	4
1380	gluts	4	4
1381	and	4	4
1382	disappointing	4	4
1383	earnings	4	4
1384	as	4	4
1385	the	4	4
1386	industry	4	4
1387	matures	4	4
1388	and	4	4
1389	slows	4	4
1390	.	4	4
1391	Some	4	4
1392	even	4	4
1393	claim	4	4
1394	the	4	4
1395	group	3	4
1396	has	4	4
1397	become	4	4
1398	a	4	4
1399	lagging	4	4
1400	,	4	4
1401	not	4	4
1402	leading	4	4
1403	,	4	4
1404	indicator	4	4
1405	.	4	4
1406	The	4	4
1407	technology	4	4
1408	sector	4	4
1409	of	4	4
1410	the	4	4
1411	Dow	2	4
1412	Jones	0	4
1413	Equity	4	4
1414	Market	4	4
1415	Index	4	4
1416	has	4	4
1417	risen	4	4
1418	only	2	4
1419	about	1	4
1420	6.24	1	0
1421	%	0	4
1422	this	2	4
1423	year	0	4
1424	,	4	4
1425	while	4	4
1426	the	4	4
1427	Nasdaq	4	4
1428	Composite	4	4
1429	Index	4	4
1430	has	4	4
1431	gained	4	4
1432	18.35	2	0
1433	%	0	4
1434	.	4	4
1435	While	4	4
1436	the	4	4
1437	composite	4	4
1438	index	4	4
1439	lost	4	4
1440	less	2	4
1441	than	1	4
1442	a	1	4
1443	third	0	4
1444	of	4	4
1445	its	4	4
1446	year-to-date	4	4
1447	gains	4	4
1448	in	4	4
1449	the	4	4
1450	market's	4	4
1451	recent	4	4
1452	decline	4	4
1453	,	4	4
1454	the	4	4
1455	technology	4	4
1456	group	3	4
1457	's	4	4
1458	gains	4	4
1459	were	4	4
1460	more	4	4
1461	than	4	4
1462	halved	4	4
1463	.	4	4
1464	The	4	4
1465	OTC	4	4
1466	technology	4	4
1467	sector	4	4
1468	is	4	4
1469	far	4	4
1470	from	4	4
1471	a	4	4
1472	cohesive	4	4
1473	unit	4	4
1474	.	4	4
1475	The	4	4
1476	group	3	4
1477	is	4	4
1478	divided	4	4
1479	primarily	4	4
1480	between	4	4
1481	software	4	4
1482	,	4	4
1483	semiconductors	4	4
1484	and	4	4
1485	computers	4	4
1486	.	4	4
1487	While	4	4
1488	computer	4	4
1489	stocks	4	4
1490	have	4	4
1491	taken	4	4
1492	the	4	4
1493	biggest	4	4
1494	hit	4	4
1495	from	4	4
1496	the	4	4
1497	slowdown	4	4
1498	in	4	4
1499	the	4	4
1500	industry	4	4
1501	,	4	4
1502	many	4	4
1503	software	4	4
1504	and	4	4
1505	semiconductor	4	4
1506	stocks	4	4
1507	have	4	4
1508	continued	4	4
1509	to	4	4
1510	outperform	4	4
1511	the	4	4
1512	market	4	4
1513	.	4	4
1514	Microsoft	3	4
1515	is	4	4
1516	up	4	4
1517	more	2	4
1518	than	1	4
1519	50	1	4
1520	%	0	4
1521	this	2	4
1522	year	0	4
1523	,	4	4
1524	while	4	4
1525	Intel	3	4
1526	is	4	4
1527	up	4	4
1528	more	2	4
1529	than	1	4
1530	40	1	4
1531	%	0	4
